item_id,prod_descr,prod_descr2,group_description,sale_price,final_price,cost,storage_cost,p*q,categoria
885,VACUNA OCTUPLE,Vacunas,Medicamentos,5261.0,6260.0,4201,12,176795724,AAA
1878,VACUNA ANTIRRABICA CANINO,Vacunas,Medicamentos,5261.0,6260.0,4625,12,90580786,AAA
1893,VACUNA TRIPLE FELINA,Vacunas,Medicamentos,5261.0,6260.0,4812,12,82954170,AAA
561,CHIP IDENTIFICADOR VIRBAC,Procedimientos,Medicamentos,5655.0,6730.0,4993,13,38385942,AAA
1731,VACUNA KC,Vacunas,Medicamentos,5261.0,6260.0,4738,12,33200790,AAA
932,VACUNA LEUCEMIA,Vacunas,Medicamentos,5261.0,6260.0,4944,12,29186679,AAA
365,SYNULOX 250 MG,Antibiotico,Medicamentos,12697.0,15110.0,10706,28,23884450,AAA
1992,PARACAN PLUS X 1 COMP,Ant. Interno,Medicamentos,1429.0,1700.0,1347,4,23666450,AAA
2148,BRAVECTO 500 MG PERRO 10 A 20 KG,Ant. Ext.,Medicamentos,29244.0,34800.0,24921,64,22810010,AAA
2078,VACUNA PUPPY DP,Vacunas,Medicamentos,5261.0,6260.0,4184,12,22762779,AAA
1232,"BRAVECTO 250 MG PERRO 4,5 A 10KG",Ant. Ext.,Medicamentos,26445.0,31470.0,24829,58,21911040,AAA
1125,BRIT CARE GF ADULT SALMON 12 KG,Adultos,Alimento,52933.0,62990.0,47305,116,21857550,AAA
898,BRAVECTO 1.000 MG PERRO 20 A 40 KG,Ant. Ext.,Medicamentos,41723.0,49650.0,33507,92,19713330,AAA
628,EHLIQUANTEL SOBRE X 1 COMP. (ANT.),Ant. Interno,Medicamentos,1487.0,1770.0,1259,4,18708120,AAA
277,BRIT CARE GF PUPPY SALMON 12 KG,Cachorros,Alimento,54613.0,64990.0,43047,120,17662940,AAA
1830,MEBERMIC  X 1 COMP.,Ant. Interno,Medicamentos,1664.0,1980.0,1364,4,17272340,AAA
1178,BRIT CARE ADULT SMALL BREED L&R 3 kg,Adultos,Alimento,21000.0,24990.0,18047,46,15021530,AAA
1437,BRIT CARE PUPPY L&R 3 kg,Cachorros,Alimento,20084.0,23900.0,18120,44,14973590,AAA
1616,BRIT CARE GF PUPPY SALMON 3 KG,Cachorros,Alimento,20084.0,23900.0,17106,44,14720220,AAA
1096,OFTAVET,Ocular,Medicamentos,16521.00840336135,19660.0,15497,37,14267230,AAA
803,BRIT CARE GF ADULT SALMON 3 KG,Adultos,Alimento,20160.0,23990.0,17918,45,12666410,AAA
1476,"NAXPET SUSPENCION 0,4%  (ORAL)",Analgesico,Medicamentos,5630.252100840336,6700.0,5041,13,12240900,AAA
638,BRIT CARE WEIGHT LOSS RABBIT 12 KG,Weight Control,Alimento,53773.0,63990.0,42643,118,12090990,AAA
1352,"NEXGARD 28,3MG X 1 TAB. MASTICABLE 4-10K",Ant. Ext.,Medicamentos,10076.0,11990.0,8175,22,12051420,AAA
862,ROYAL CAN  VET CAT  YOUNG MALE S/O 3.5 KILO,Adultos,Alimento,35697.0,42480.0,31458,78,10962010,AAA
1776,NEXGARD 68MG X 1 TAB.MASTICABLE 10-25K,Ant. Ext.,Medicamentos,11168.0,13290.0,9507,25,10732814,AAA
1344,VACUNA ANTIRRABICA FELINO,Vacunas,Medicamentos,5261.0,6260.0,4750,12,10390240,AAA
1497,BRAVECTO GATO 2.8 A 6.25 KG,Ant. Ext.,Medicamentos,26445.0,31470.0,24083,58,10070470,AAA
416,ROSTRUM SUSP. ORAL 20 ML,Antibiotico,Medicamentos,5369.747899159664,6390.0,4213,12,9840600,AAA
1258,BRIT CARE GF SENIOR & LIGHT SALMON 12 KG,Senior,Alimento,53773.0,63990.0,42333,118,9189000,AAA
998,"SIMPARICA 20 MG X 1 TAB. 5,1 - 10 KG",Ant. Ext.,Medicamentos,7790.0,9270.0,6976,18,8981210,AAA
1390,BRIT CARE GF SENIOR & LIGHT SALMON 3 KG,Senior,Alimento,20160.0,23990.0,18388,45,8972730,AAA
442,ROYAL CANIN MINI ADULTO 2.5KG,Adultos,Alimento,21739.0,25870.0,19966,48,8967640,AAA
